Date, AAL Open, AAPL Open, AMZN Open, BAC Open, DAL Open, HMC Open, JNJ Open, JPM Open, LLY Open, LUV Open, MSFT Open, TM Open, TSLA Open, UNH Open, V Open
2/1/2013,14.43,16.396786,13.4465,11.41,13.97,38.009998,74.139999,47.400002,53.549999,11.29,27.67,97.239998,2.544667,55.740002,39.75
3/1/2013,13.37,15.642857,13.1635,11.13,14.26,37.34,75.790001,48.599998,54.310001,11.66,27.719999,102.330002,2.333333,53.34,39.482498
4/1/2013,17.02,15.782143,13.349,12.15,16.43,37.07,81.389999,47.549999,56.669998,13.47,28.639999,101.879997,2.824,57.16,42.4375
5/1/2013,16.91,15.873571,12.695,12.2,17.26,39.389999,84.5,48.759998,55.099998,13.71,32.93,114.269997,3.732667,59.959999,41.747501
6/1/2013,17.540001,16.0975,13.448,13.69,18.120001,37.32,84.279999,54.599998,53.080002,14.18,34.919998,115.580002,6.508,62.889999,44.6875
7/1/2013,16.5,14.381786,13.95,12.95,18.799999,37.349998,85.720001,53.220001,49.349998,12.96,34.75,122.389999,7.290667,65.889999,45.974998
8/1/2013,19.440001,16.276787,15.154,14.85,21.530001,37.060001,94.160004,56.360001,53.43,13.91,32.060001,126.25,9,73.230003,45.439999
9/1/2013,16.379999,17.610714,14.2365,14.3,20.049999,37.040001,86.889999,51.25,51.77,12.97,31.75,124,11.56,71.809998,44.0075
10/1/2013,18.98,17.0875,15.711,13.85,23.68,38.400002,86.589996,51.639999,50.41,14.58,33.349998,128.029999,12.930667,71.739998,47.822498
11/1/2013,22.040001,18.715,18.2815,14,26.459999,39.970001,92.379997,51.450001,49.91,17.26,35.669998,129.509995,10.866667,68.269997,49.737499
12/1/2013,23.549999,19.928572,19.950001,15.84,29,42.349998,94.410004,57.099998,50.299999,18.620001,38.09,124.82,8.423333,73.639999,51.025002
1/1/2014,25.07,19.845715,19.940001,15.69,27.26,41.099998,91.139999,58.310001,50.970001,18.85,37.349998,121.599998,9.986667,74.910004,55.384998
2/1/2014,33.950001,17.950357,17.948999,16.77,30.639999,37.16,88.75,55.5,54.110001,20.98,37.740002,113.970001,12.192667,72.139999,54.127499
3/1/2014,36.169998,18.693571,17.937,16.299999,32.389999,36.459999,91.129997,56.299999,58.950001,22.15,37.919998,113.839996,15.817333,76.699997,55.810001
